PIF keys ohm and bit chart v1: KΩ measurements for P.I.F. keys.

Keys;KΩ
 Key 1;45,4
 Key 2;42,0
 Key 3;39,0
 Key 4;35,52
 Key 5;32,82
 Key 6;29,90
 Key 7;27,35
 Key 8;24,87
 Key 9;22,75
 Key 10;20,44
 Key 11;18,45
 Key 12;16,57
 Key 13;14,82
 Key 14;13,14
 Key 15;11,50
 Key 16;9,94
 Key 17;8,53
 Key 18;7,15
 Key 19;5,87
 Key 20;4,63
 Key 21;3,5
 Key 22;2,44
 Key 23;1,537
 Key 24;0,746

PIF keys ohm and bit chart v1: Table 1

Keys;K Ω;Bits;K Ω at Bit;Ω diff;10 Bit;Ω;Ω pr bit
 Key 1;45,4;929,79;45,36;38,67;1024;50000;48,828125
 Key 2;42,0;860,16;41,99;7,81;;;
 Key 3;39,0;798,72;38,96;35,16;;;
 Key 4;35,52;727,45;35,50;21,95;;;
 Key 5;32,82;672,15;32,81;7,50;;;
 Key 6;29,90;612,35;29,88;17,19;;;
 Key 7;27,35;560,13;27,34;6,25;;;
 Key 8;24,87;509,34;24,85;16,48;;;
 Key 9;22,75;465,92;22,71;44,92;;;
 Key 10;20,44;418,61;20,41;29,84;;;
 Key 11;18,45;377,86;18,41;41,80;;;
 Key 12;16,57;339,35;16,55;17,27;;;
 Key 13;14,82;303,51;14,79;25,08;;;
 Key 14;13,14;269,11;13,13;5,23;;;
 Key 15;11,50;235,52;11,47;25,39;;;
 Key 16;9,94;203,57;9,91;27,89;;;
 Key 17;8,53;174,69;8,50;33,91;;;
 Key 18;7,15;146,43;7,13;21,09;;;
 Key 19;5,87;120,22;5,86;10,63;;;
 Key 20;4,63;94,82;4,59;40,16;;;
 Key 21;3,5;71,68;3,47;33,20;;;
 Key 22;2,44;49,97;2,39;47,42;;;
 Key 23;1,537;31,48;1,51;23,33;;;
 Key 24;0,746;15,28;0,73;13,58;;;

PIF keys ohm and bit chart v1: Table 1-1

Keys;K Ω;Bits;K Ω at Bit;Ω diff;12 Bit;Ω;Ω pr bit
 Key 1;45,4;3717,35;45,40;4,30;4094;50000;12,2129946262824
 Key 2;42,0;3438,96;41,99;11,72;;;
 Key 3;39,0;3193,32;39,00;3,91;;;
 Key 4;35,52;2908,38;35,52;4,61;;;
 Key 5;32,82;2687,30;32,82;3,68;;;
 Key 6;29,90;2448,21;29,90;2,59;;;
 Key 7;27,35;2239,42;27,34;5,11;;;
 Key 8;24,87;2036,36;24,87;4,34;;;
 Key 9;22,75;1862,77;22,74;9,40;;;
 Key 10;20,44;1673,63;20,43;7,66;;;
 Key 11;18,45;1510,69;18,44;8,38;;;
 Key 12;16,57;1356,75;16,56;9,18;;;
 Key 13;14,82;1213,46;14,81;5,64;;;
 Key 14;13,14;1075,90;13,13;11,03;;;
 Key 15;11,50;941,62;11,49;7,57;;;
 Key 16;9,94;813,89;9,93;10,84;;;
 Key 17;8,53;698,44;8,52;5,33;;;
 Key 18;7,15;585,44;7,14;5,40;;;
 Key 19;5,87;480,64;5,86;7,76;;;
 Key 20;4,63;379,10;4,63;1,28;;;
 Key 21;3,5;286,58;3,49;7,08;;;
 Key 22;2,44;199,79;2,43;9,61;;;
 Key 23;1,537;125,85;1,53;10,38;;;
 Key 24;0,746;61,08;0,74;1,01;;;
